"PlayerName","PlayerPosition","Team","eMIN","eFG","eFT","eThrPM","eREB","eAST","eSTL","eBLK","eTO","ePTS","FGA2014","FTA2014"
"Luke Ridnour","PG,SG","TOR",683,0.426136363636364,0.857142857142857,0.425531914893617,1.4468085106383,2.04255319148936,0.425531914893617,0.0851063829787234,0.808510638297872,4,3.74468085106383,0.446808510638298
"Joel Anthony","PF,C","DET",406,0.580645161290323,0.681818181818182,0,1.89795918367347,0.102040816326531,0.244897959183673,1,0.244897959183673,1.77551020408163,1.26530612244898,0.448979591836735
"Jerami Grant","SF,PF","PHI",25.2857142857143,0.403508771929825,0.75,0.285714285714286,4.42857142857143,1.28571428571429,0.571428571428571,1.71428571428571,1,9.42857142857143,5.41538461538462,2.96923076923077
"Damjan Rudez","SG,SF","MIN",3.5,1,0.695652173913043,0,0.5,0,0,0,0.5,1,3.86764705882353,0.338235294117647
"Allen Crabbe","SG","POR",22.125,0.446428571428571,0.714285714285714,0.625,1.875,1.125,0.875,0.125,0.75,7.5,3,0.313725490196078
"Phil Pressey","PG","PHI",8.75,0.461538461538462,0.4,0.75,1.25,2.5,0.25,0,1.5,4.25,3.48,0.98
"Markel Brown","SG","BKN",15.4,0.333333333333333,0.5,0.6,0.8,1.4,0.6,0.2,0.8,4.2,4.46808510638298,1.21276595744681
"Lance Thomas","SG,SF","NY",19.1428571428571,0.558823529411765,0.75,0.285714285714286,1.71428571428571,0.571428571428571,0.142857142857143,0,0.857142857142857,7,7.12903225806452,1.59677419354839
"Jason Maxiell","PF,C","CHA",880,0.421875,0.577464788732394,0,3.32786885245902,0.311475409836066,0.295081967213115,0.721311475409836,0.475409836065574,3.32786885245902,3.14754098360656,1.16393442622951
"Michael Beasley","SF,PF","MIA",503,0.433962264150943,0.769230769230769,0.333333333333333,3.70833333333333,1.33333333333333,0.625,0.541666666666667,1.54166666666667,8.83333333333333,8.83333333333333,1.08333333333333
"P.J. Hairston","SG,SF","CHA",19.5,0.32258064516129,1,0.666666666666667,2.66666666666667,0.5,0.166666666666667,0.166666666666667,0.5,5.16666666666667,5.97777777777778,0.8
"Nate Robinson","PG,SG","NOR",11.5,0,0.673913043478261,0,0,2,0.5,0,0,0,6.07142857142857,1.0952380952381
"Tyler Johnson","SG","MIA",18.3333333333333,0.592592592592593,0.555555555555556,0.833333333333333,3,1.66666666666667,0.666666666666667,0.166666666666667,0.666666666666667,7,5.21875,1.46875
"Elijah Millsap","SG,SF","UTA",5.2,0.142857142857143,0.674418604651163,0,0.4,0,0.2,0.2,0.2,0.4,5.06382978723404,1.82978723404255
"Danny Granger","SF","DET",610,0.401234567901235,0.756756756756757,0.967741935483871,2.58064516129032,0.548387096774194,0.419354838709677,0.193548387096774,0.774193548387097,6.06451612903226,5.2258064516129,1.19354838709677
